Date,knumber,Name,Manufactuer,Specialty,Product_Code,artificial_intelligence1,machine_learning1,neural_network1,neural_networks1,deep_learning1,reinforcement_learning1,natural_language_processing1,decision_tree1,xgboost1,gradient_boosted1,gradient_boosting1,ensemble1,big_data1,AI1,ML1,DL1,DNN1,CNN1,RNN1,NLP1,phantom1,specificity1,sensitivity1,risk_assessment1,time_to_open1,time_to_notification1,human_factor1,ease_of_use1,ease_of_training1,standards1,industry_standards1,risk_management1,risk1,retrospective1,prospective1,summary1,FDA,STUDY,CLINICAL_TRIALS,STUDY_SIZE,Site,STATE,COUNTRY_CODE,CT,multisite,Performance,Jiang,REVIEW_PANEL,MEDICALSPECIALTY,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting,summary,key_index,year,study1,path
06/17/2021,K203514,Precise Position,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,,80,,,CN,0,0,1,0,RA,RA,"System, X-Ray, Tomography, Computed",2,,N,Y,,892.175,1,,,,,N,N,Eligible,1,1,2021,1,510K
04/16/2021,K203517,Saige-Q,"DeepHealth, Inc.",Radiology,QFM,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,,1528,6,MA,US,0,1,1,0,RA,RA,Radiological Computer-Assisted Prioritization Software For Lesions,2,,N,N,,892.208,1,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.,The device is software only.,"The device provides triage or notification that is informed by machine learning, artificial intelligence or other image analysis algorithms.This type of device establishes effective triage within a specialists queue based on high sensitivity and specificity >95% AUC.",The device operates on radiological images of the human body.,N,N,Ineligible,1,2,2021,1,510K
04/20/2021,K203610,Automatic Anatomy Recognition (AAR),"Quantitative Radiology Solutions, LLC",Radiology,QKB,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,,PA,US,0,0,1,0,RA,RA,Radiological Image Processing Software For Radiation Therapy,2,,N,N,,892.205,1,"To provide semi-automatic or fully-automated radiological image processing and analysis tools for radiation therapy. Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images  typically impact device performance. AI based radiological image processing software  is intended to be used in the workflow of radiation therapy.  Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code.","Software application and/or firmware, system components and accessories","Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images typically impact device performance. Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code.",Human-derived imaging products,N,N,Ineligible,1,3,2021,0,510K
06/10/2021,K203629,IDx-DR,Digital Diagnostics Inc.,Other,PIB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,,IA,US,0,0,1,0,OP,OP,Diabetic Retinopathy Detection Device,2,,N,N,,886.11,1,A retinal diagnostic software device is a prescription software device that incorporates an adaptive algorithm to evaluate ophthalmic images for diagnostic screening to identify retinal diseases or conditions.,"Installed on, and operated by, an off-the-shelf hardware system with an appropriate OS.","Software as a medical device designed to analyze digital fundus images taken with an ophthalmic camera. Using artificial intelligence algorithms, the device is able to determine whether a patient has referable retinopathy.",Fundus images of the macula and optic nerve of the eye.,N,N,Eligible,1,1,2021,0,510K
04/30/2021,K210001,HYPER AiR,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,,,,,CN,0,0,1,0,RA,RA,"System, Tomography, Computed, Emission",2,,N,Y,,892.12,1,,,,,N,N,Eligible,1,2,2021,1,510K
03/31/2021,K210071,SIS System (Version 5.1.0),"Surgical Information Sciences, Inc.",Radiology,LLZ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,MN,US,0,0,1,0,RA,RA,"System, Image Processing, Radiological",2,,N,Y,,892.205,1,,,,,N,N,Eligible,1,3,2021,0,510K
03/23/2021,K210209,Viz ICH,"Viz.Ai, Inc.",Radiology,QAS,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,,387,2,CA,US,0,1,1,0,RA,RA,Radiological Computer-Assisted Triage And Notification Software,2,,N,N,,892.208,1,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .,The device is software only.,"The device provides triage or notification that is informed by machine learning, artificial intelligence or other image analysis algorithms.",The device operates on radiological images of the human body.,N,N,Ineligible,1,2,2021,1,510K
05/19/2021,K210237,CINA CHEST,Avicenna.AI,Radiology,QAS,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,,694,,DC,US,0,1,1,0,RA,RA,Radiological Computer-Assisted Triage And Notification Software,2,,N,N,,892.208,1,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .,The device is software only.,"The device provides triage or notification that is informed by machine learning, artificial intelligence or other image analysis algorithms.",The device operates on radiological images of the human body.,N,N,Ineligible,1,2,2021,1,510K
06/11/2021,K210484,"LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System","Medtronic, Inc.",Cardiovascular,MXD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,,,,MN,US,0,0,1,0,CV,CV,"Recorder, Event, Implantable Cardiac, (With Arrhythmia Detection)",2,,N,N,,870.1025,1,,,,,Y,N,Eligible,1,2,2021,0,510K
04/21/2021,K210556,Preview Shoulder,Genesis Software Innovations,Radiology,QIH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,MI,US,0,0,1,0,RA,RA,Automated Radiological Image Processing Software,2,,N,N,,892.205,1,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.","Software application and/or firmware, system components and accessories","Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.",Human-derived imaging products,N,N,Ineligible,1,2,2021,0,510K
11/17/2014,DEN140025,BrainScope Ahead 100,"BrainScope Company, Inc.",Other,PIW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,,817,11,MD,US,0,1,0,1,NE,NE,Brain Injury Adjunctive Interpretive Electroencephalograph Assessment Aid,2,,N,N,,882.145,1,A prescription device that uses a patientøs electroencephalograph (EEG) to provide an interpretation of the structural condition of the patientøs brain in the setting of trauma.  The Brain Injury Adjunctive Interpretive EEG Assessment Aid is for use as an adjunct to standard clinical practice only as an assessment aid for a medical condition for which there exists other valid methods of diagnosis.,"Handheld EEG recording device, electrodes, and data analysis software",Software analysis of EEG signals,"Forehead, scalp",N,N,Eligible,1,0,2014,1,DEN
07/19/2017,DEN170022,QuantX,"Quantitative Insights, Inc",Radiology,POK,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,,111,,IL,US,0,0,1,1,RA,RA,Computer-Assisted Diagnostic Software For Lesions Suspicious For Cancer,2,,N,N,,892.206,1,Assist users in characterizing lesions identified on acquired medical images,Software,The device characterizes lesions based on features or information extracted from the images and provides information about the lesion(s) to the user.,Lesions,N,N,Eligible,1,2,2017,1,DEN
06/12/2018,DEN170043,DreaMed Advisor Pro,"DreaMed Diabetes, Ltd.",Other,QCC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,,15,3,,IL,0,1,1,1,CH,CH,Insulin Pump Therapy Adjustment Calculator For Healthcare Professionals,2,,N,N,,862.1358,1,"An insulin pump therapy adjustment calculator for healthcare professionals is intended to recommend insulin pump therapy parameter adjustments (e.g., basal rate, insulin to carbohydrate ratios, insulin sensitivity factors) based on data from external devices, including continuous glucose monitors.",The device is software with a graphical user interface.,Software algorithm,Diabetes,N,N,Ineligible,1,0,2018,1,DEN
02/13/2018,DEN170073,ContaCT,"Viz.Al, Inc.",Radiology,QAS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,,44,,CA,US,0,0,1,1,RA,RA,Radiological Computer-Assisted Triage And Notification Software,2,,N,N,,892.208,1,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .,The device is software only.,"The device provides triage or notification that is informed by machine learning, artificial intelligence or other image analysis algorithms.",The device operates on radiological images of the human body.,N,N,Ineligible,1,1,2018,1,DEN
04/11/2018,DEN180001,IDx-DR,"IDx, LLC",Other,PIB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,,900,10,IA,US,0,1,1,1,OP,OP,Diabetic Retinopathy Detection Device,2,,N,N,,886.11,1,A retinal diagnostic software device is a prescription software device that incorporates an adaptive algorithm to evaluate ophthalmic images for diagnostic screening to identify retinal diseases or conditions.,"Installed on, and operated by, an off-the-shelf hardware system with an appropriate OS.","Software as a medical device designed to analyze digital fundus images taken with an ophthalmic camera. Using artificial intelligence algorithms, the device is able to determine whether a patient has referable retinopathy.",Fundus images of the macula and optic nerve of the eye.,N,N,Eligible,1,1,2018,1,DEN
05/24/2018,DEN180005,OsteoDetect,"Imagen Technologies, Inc.",Radiology,QBS,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,,200,,NY,US,0,0,1,1,RA,RA,Radiological Computer Assisted Detection/Diagnosis Software For Fracture,2,,N,N,,892.209,1,"A radiological computer assisted detection and diagnostic software for suspected fracture is an image processing device intended to aid in the detection, localization, and/or characterization of fracture on acquired medical images (e.g. radiography, MR, CT). The device detects, identifies and/or characterizes fracture based on features or information extracted from images, and may provide information about the presence, location, and/or characteristics of the fracture to the user. Primary diagnostic and patient management decisions are made by the clinical user.",Software device that receives radiological images as an input and provides a concurrent read for presence or absence of fracture (detection and diagnosis) as an output,Analyzes radiological images using machine learning algorithms to detect and diagnose fracture.,Radiological images of anatomical sites that main contain fracture.,N,N,Ineligible,1,2,2018,1,DEN
09/11/2018,DEN180042,Irregular Rhythm Notification Feature,Apple Inc,Cardiovascular,QDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,,269,,VA,US,0,0,1,1,CV,CV,Photoplethysmograph Analysis Software For Over-The-Counter Use,2,,N,N,,870.279,1,A photoplethysmograph analysis software device for over-the-counter use analyzes photoplethysmograph data and provides information for identifying irregular heart rhythms. This device is not intended to provide a diagnosis.,Software.,Analyzes photoplethysmograph data and provides detection information.,Software.,N,N,Ineligible,1,0,2018,1,DEN
09/11/2018,DEN180044,ECG App,Apple Inc,Cardiovascular,QDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,,602,5,VA,US,0,1,1,1,CV,CV,Electrocardiograph Software For Over-The-Counter Use,2,,N,N,,870.2345,1,"An electrocardiograph software device for over-the-counter use creates, analyzes, and displays electrocardiograph data, and can provide information for identifying cardiac arrhythmias. This device is not intended to provide a diagnosis.","The devices uses consumer grade electronics and is hand held or worn on the wrist, arms, or chest.","Uses input from leads attached to or in contact with the users hands, wrists, arms, or chest to detect potential differences and generate an ECG waveform.","Hands, arms, or chest.",N,N,Ineligible,1,0,2018,1,DEN
02/07/2020,DEN190040,Caption Guidance,"Bay Labs, Inc.",Radiology,QJU,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,,,,CA,US,0,0,1,1,RA,RA,Image Acquisition And/Or Optimization Guided By Artificial Intelligence,2,,N,N,,892.21,1,"A radiological acquisition and/or optimization guidance system is a device that is intended to aid in the acquisition and/or optimization of images and/or diagnostic signals. The device interfaces with the acquisition system, analyzes its output, and provides guidance and/or feedback to the operator for improving image and/or signal quality.","The subject software would utilize images acquired using an imaging system.  The software can be installed on an existing imaging system, or can be operated on a computer that is connected to the imaging system.","The device's algorithm would be based on the analysis of images and/or diagnostic data.  The underlying algorithms used for providing guidance to the users may be based on deep learning methods, trained on images obtained by trained operators.",Human body,N,N,Ineligible,1,2,2020,1,DEN
12/27/2012,K123526,CLEARREAD +CONFIRM,Riverain Technologies,Radiology,LLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,OH,US,0,0,0,1,RA,RA,"System, Image Processing, Radiological",2,,N,Y,,892.205,1,,,,,N,N,Eligible,1,0,2012,0,510K
03/22/2016,K143468,QbCheck,QBTECH AB,Other,LQD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,SE,0,0,1,1,NE,,"Recorder, Attention Task Performance",U,1,N,N,,,1,,,,,N,N,Eligible,1,0,2016,0,510K
07/15/2016,K160016,Steth IO,"Stratoscientific, Inc.",Cardiovascular,DQD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,,,,WA,US,0,0,1,1,CV,CV,"Stethoscope, Electronic",2,,N,Y,,870.1875,1,,,,,N,N,Eligible,1,0,2016,0,510K
05/30/2017,K162574,AmCAD-US,AmCad BioMed Corporation,Radiology,LLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,TW,0,0,0,1,RA,RA,"System, Image Processing, Radiological",2,,N,Y,,892.205,1,,,,,N,N,Eligible,1,0,2017,0,510K
03/31/2017,K162627,EnsoSleep,"EnsoData, Inc.",Other,OLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,,72,,WI,US,0,0,1,1,NE,NE,Automatic Event Detection Software For Polysomnograph With Electroencephalograph,2,,N,N,,882.14,1,"Automatically mark electroencephalograph and polysomongraph signals in order to aid in identification of such events and annotation of prolonged PSG traces; Automatically calculate simple measures obtained from recorded signals (e.G. Magnitude, time, frequency and simple statistical measures of marked events); All output subject to verification by qualified user","Electroencephalograph analysis software.  Does NOT include electrodes, electroencephalograph hardware, polysomnograph hardware, or basic electroencephalograph/polysomnograph software (e.g. used to display, store, archive, or manually annotate data).",Uses software algorithms to analyze electroencephalograph and polysomnograph waveforms and automatically identify areas of interest to the user,Brain,N,N,Eligible,1,0,2017,1,510K
