,Date,Name,Specialty,path,height
49,12/15/2017,BioFlux Device,Cardiovascular,510K,1.0
124,03/15/2020,"Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR",Radiology,510K,0.0
128,03/15/2020,MammoScreen,Radiology,510K,1.0
131,03/15/2020,Rapid ICH,Radiology,510K,2.0
136,03/15/2020,syngo.CT Lung CAD,Radiology,510K,3.0
137,03/15/2020,Transpara,Radiology,510K,4.0
139,03/15/2020,Al-Rad Companion (Musculoskeletal),Radiology,510K,5.0
141,03/15/2020,Hepatic VCAR,Radiology,510K,6.0
150,03/15/2020,Viz ICH,Radiology,510K,7.0
151,03/15/2020,AI-ECG Tracker,Cardiovascular,510K,8.0
24,05/15/2021,CINA CHEST,Radiology,510K,0.0
36,12/15/2012,CLEARREAD +CONFIRM,Radiology,510K,0.0
135,08/15/2020,HYPER DLR,Radiology,510K,0.0
159,08/15/2020,AVIEW,Radiology,510K,1.0
171,08/15/2020,VIDAvision,Radiology,510K,2.0
173,08/15/2020,BriefCase,Radiology,510K,3.0
176,08/15/2020,Limbus Contour,Radiology,510K,4.0
179,08/15/2020,Accipiolx,Radiology,510K,5.0
182,08/15/2020,Syngo.via RT Image Suite,Radiology,510K,6.0
184,08/15/2020,TOMTEC-ARENA,Radiology,510K,7.0
157,08/15/2020,EyeArt,Other,510K,8.0
39,05/15/2017,AmCAD-US,Radiology,510K,0.0
46,06/15/2017,syngo Application Software,Radiology,510K,0.0
32,05/15/2018,OsteoDetect,Radiology,DEN,0.0
60,05/15/2018,NeuralBot,Radiology,510K,1.0
140,01/15/2021,uAI EasyTriage-Rib,Radiology,510K,0.0
181,01/15/2021,Visage Breast Density,Radiology,510K,1.0
186,01/15/2021,Aquilion Lightning (TSX-036A/7) V10.2 with AiCE-i,Radiology,510K,2.0
194,01/15/2021,BrainInsight,Radiology,510K,3.0
196,01/15/2021,ART-Plan,Radiology,510K,4.0
197,01/15/2021,"Vantage Orian 1.5T, MRT-1550, V6.0",Radiology,510K,5.0
160,01/15/2021,CLEWICU System (ClewICUServer and ClewICUnitor),Cardiovascular,510K,6.0
208,01/15/2021,Imagio Breast Imaging System,Other,PMA,7.0
2,12/15/2008,CellaVision DM96 with the body fluid application,Other,510K,0.0
53,01/15/2018,Arterys Oncology DL,Radiology,510K,0.0
47,01/15/2018,WAVE Clinical Platform,Cardiovascular,510K,1.0
4,09/15/2011,CellaVision� DM1200 with the body fluid application,Other,510K,0.0
72,12/15/2018,iSchemaView RAPID,Radiology,510K,0.0
77,12/15/2018,PowerLook Tomo Detection V2 Software,Radiology,510K,1.0
79,12/15/2018,Quantib ND,Radiology,510K,2.0
54,12/15/2018,reSET-O,Other,510K,3.0
68,12/15/2018,Embrace,Other,510K,4.0
86,04/15/2019,Deep Learning Image Reconstruction,Radiology,510K,0.0
87,04/15/2019,Bone VCAR (BVCAR),Radiology,510K,1.0
97,04/15/2019,BriefCase,Radiology,510K,2.0
70,04/15/2019,eMurmur ID,Cardiovascular,510K,3.0
45,04/15/2017,Carestream Vue PACS,Radiology,510K,0.0
85,08/15/2019,Critical Care Suite,Radiology,510K,0.0
96,08/15/2019,D2P,Radiology,510K,1.0
92,08/15/2019,Biovitals Analytics Engine,Cardiovascular,510K,2.0
