,Date,Name,Specialty,path,height
128,02/15/2020,MammoScreen,Radiology,510K,6.0
131,02/15/2020,Rapid ICH,Radiology,510K,7.0
133,02/15/2020,MRCAT brain,Radiology,510K,8.0
136,02/15/2020,syngo.CT Lung CAD,Radiology,510K,9.0
137,02/15/2020,Transpara,Radiology,510K,10.0
139,02/15/2020,Al-Rad Companion (Musculoskeletal),Radiology,510K,11.0
141,02/15/2020,Hepatic VCAR,Radiology,510K,12.0
150,02/15/2020,Viz ICH,Radiology,510K,13.0
116,02/15/2020,Eko Analysis Software,Cardiovascular,510K,14.0
151,02/15/2020,AI-ECG Tracker,Cardiovascular,510K,15.0
30,02/15/2018,ContaCT,Radiology,DEN,0.0
44,02/15/2018,DM-Density,Radiology,510K,1.0
53,02/15/2018,Arterys Oncology DL,Radiology,510K,2.0
47,02/15/2018,WAVE Clinical Platform,Cardiovascular,510K,3.0
61,8/15/2018,BriefCase,Radiology,510K,0.0
64,8/15/2018,Workflow Box,Radiology,510K,1.0
33,8/15/2018,Irregular Rhythm Notification Feature,Cardiovascular,DEN,2.0
34,8/15/2018,ECG App,Cardiovascular,DEN,3.0
57,8/15/2018,FibriCheck,Cardiovascular,510K,4.0
66,8/15/2018,RightEye Vision System,Other,510K,5.0
38,8/15/2016,Steth IO,Cardiovascular,510K,0.0
7,02/15/2014,Ysio Max,Radiology,510K,0.0
84,5/15/2019,Aquilion ONE (TSX-305A/6) V8.9 with AiCE,Radiology,510K,0.0
86,5/15/2019,Deep Learning Image Reconstruction,Radiology,510K,1.0
87,5/15/2019,Bone VCAR (BVCAR),Radiology,510K,2.0
95,5/15/2019,ClariCT.AI,Radiology,510K,3.0
97,5/15/2019,BriefCase,Radiology,510K,4.0
98,5/15/2019,HealthPNX,Radiology,510K,5.0
99,5/15/2019,RayStation,Radiology,510K,6.0
100,5/15/2019,HealthICH,Radiology,510K,7.0
104,5/15/2019,BriefCase,Radiology,510K,8.0
70,5/15/2019,eMurmur ID,Cardiovascular,510K,9.0
106,5/15/2019,CLARUS,Other,510K,10.0
2,11/15/2008,CellaVision DM96 with the body fluid application,Other,510K,0.0
